,smiles,value,preds
0,O=C(CN1C(=O)CCC1=O)Nc1ccc(F)c(F)c1F,False,-1.1249943284294752
1,COc1ccc(-c2nnc(NC(=O)c3ccc4ccccc4c3)o2)cc1OC,True,1.6368211193459756
2,O=C(Nc1ccc2ccccc2n1)c1ccc(N2CCOC2=O)cc1,True,0.9550464602098128
3,Cc1c[nH]c(=O)n1-c1ccc(C(=O)Nc2ccc3ccccc3n2)cc1,True,0.9996026781688108
4,O=C(C1CCC(O)CC1)N1CCCN(c2ccc(F)cc2)CC1,False,-1.4327674718035985
5,CNC(=O)c1ccc(-c2nnc(-c3cccc(C)c3)o2)cc1,True,0.5642847609328236
6,Cc1ccc(C(=O)N2CCN(C(=O)NCC(=O)N3CCCC3)CC2)cc1F,False,-2.1899141383343177
7,COC(=O)c1c(C)[nH]c(C(=O)N(C)Cc2ccc(OC)c(F)c2)c1C,False,-0.7188653706833215
8,Cc1cc(C)nc(Nc2ccc(C3CCCN(CC(=O)N4CCCC4)C3)nc2)n1,False,-1.12916751640314
9,COc1ccc(C)cc1NC(=O)CN1CCc2ccccc2C1,False,-0.923477273929151
10,Cc1nnc(NCC(=O)N2CCc3sccc3C2)c(C#N)c1C,False,-0.12984342595084586
11,O=C(c1cccnc1)N1CCCC(c2cccc(-c3cccc(Cl)c3)n2)C1,False,-0.30370665773358807
12,O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1ccccc1F,False,-0.8541596171930812
13,Cc1cccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c1,False,-1.0079796837366435
14,O=C(CN1CCCN(c2nccs2)CC1)Nc1cccc(Cl)c1,False,-0.6948302558664303
15,COc1ccccc1NC(=O)CN1CCCN(c2nc(C)cs2)CC1,False,-1.7403083924365048
16,COc1ccc(-c2cccc(C3CCCN(CC(=O)Nc4ccccn4)C3)n2)cc1,True,-1.058526070448417
17,Cc1noc(C)c1C(=O)N1CCCN(c2ccc(F)cc2)CC1,False,-1.2326917689242607
18,COc1ccc(Cc2cccc(C3CCN(C(=O)C4CCCC4)CC3)n2)cc1,False,-0.9653038502125746
19,O=C(CC1CCNCC1)NCCc1ccccc1F,False,-1.3483511341494823
20,Cc1ccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c(F)c1,False,-1.1997044550966725
21,COc1ccccc1CNC(=O)C(C)N1CCCN(c2ccccc2C#N)CC1,False,-0.6045244574693203
22,Cc1ccc2nc3c(c(C(=O)NCc4nnc5n4CCC5)c2c1)CCCC3,False,-1.0034346626843518
23,O=C(CN1CCCC(c2ccc3cn[nH]c3n2)C1)N1CCCC1,False,-0.5367035526467627
24,O=C(c1ccc2[nH]ccc2c1)N1CCCC(c2cccc(-c3ccc(F)cc3)n2)C1,True,0.5523309950622926
25,CN(C)c1cccc(C(=O)N2CCCC(c3cccc(-c4cccs4)n3)C2)c1,True,0.08744570561169507
26,Cc1cc(C)c(C#N)c(N2CCN(CC(=O)Nc3ccccc3Cl)CC2)n1,True,-0.4342005469358994
27,COc1ccc2c(c1)C=C(CN1CCC(c3cc(-c4ccc(N)nc4)cc(C)n3)CC1)CO2,False,0.2094049175381496
28,CCCn1ncc2ccc(C3CCCN(CC(=O)N4CCCC4)C3)nc21,False,-0.6004751269736608
29,O=C(Cc1ccc(Cl)cc1)NCc1ccncc1,False,-0.10107402259483811
30,CC(C(=O)Nc1ccccc1)N1CCCN(c2nccs2)CC1,False,-1.2821230155837369
31,Cc1cc(NC(=O)CCc2cnn(C)c2)c2ccccc2n1,False,0.2900092262523799
32,O=C(CCc1ccccc1)N1CCC(c2cccc(Cc3ccc(F)cc3)n2)CC1,True,-0.40055745631368334
33,CSc1cccc(-c2ccccc2-c2nnc(C)o2)c1,False,1.1232055473849498
34,O=C(c1cc(-c2cccc(Cl)c2)on1)N1CCC(n2cccc2)CC1,False,-0.05802525701500949
35,Cc1nn(C)c(C)c1NC(=O)CN1CCN(c2nccs2)CC1,False,-1.599549949192745
36,Cn1ccc(C(=O)N2CCCC(c3cccc(-c4cccc(Cl)c4)n3)C2)n1,False,-0.7085948299222191
37,CN1C(=O)N(CC(=O)Nc2ccccc2-c2ccccc2)C(=O)C1(C)C,False,-0.1364147565776861
38,COc1ccc2c(c1)C=C(CN1CCC(c3cc(-c4cncnc4)cc(C)n3)CC1)CO2,False,-0.6900262888597108
39,COc1ccccc1CNc1n[nH]c2nc([C@H]3CCCN(CC(=O)N4CCCC4)C3)ccc12,False,-0.7104279582111581
40,Cc1ccc2nc3c(c(C(=O)NCc4cnn(C)c4)c2c1)CCCC3,False,-0.7048814541507826
41,CC(C)(C)c1ccc(CN2CCC(C(N)=O)CC2)cc1,False,-1.8199176800028254
42,O=C(NC1CCCC1)C(=O)c1ccc2c(c1)CCC2,False,0.13564917189418257
43,CN1C(=O)N(CC(=O)NCc2ccc(Cl)cc2)C(=O)C12CCCCC2,False,-0.9996045447413677
44,CC(=O)N1CCC(c2ccccn2)CC1,False,-1.4008142110369413
45,Cc1ccc(C(=O)C(=O)NC2CCCC2)cc1,False,-0.7772053291819341
46,O=C(CN1CCCC(c2cccc(-c3cccc(Cl)c3)n2)C1)N1CCCC1,False,-0.7478888661381569
47,O=C(CN1CCCC(c2cncc(-c3cccc(Cl)c3)n2)C1)N1CCCC1,False,-0.7478888661381569
48,Cc1ccc(C(=O)C(=O)Nc2c(C)nn(C)c2C)cc1,False,-0.13008075651076645
49,Cn1ccc(CN2CCC(c3cnccn3)CC2)n1,False,-1.8619928271555444
50,O=C(CN1CCSC1=O)Nc1ccccc1F,False,-1.1292616315424016
51,COCCNC(=O)CN1CCN(c2nccn2-c2cccc(Cl)c2)CC1,False,-0.8470765694765583
52,CC(C)(O)C(=O)N1CCC(c2ccc3c(NCc4ccccc4F)n[nH]c3n2)CC1,False,-0.1978110289885735
53,Cc1nc([C@H]2CC[C@H](CNC(=O)CN3CCC(c4ccccc4)CC3)CC2)ccc1C(N)=O,False,-2.153554367751924
54,O=S(=O)(c1cn[nH]c1)N1CCCC(c2cccc(-c3cccc(Cl)c3)n2)C1,True,0.2854614705883911
55,Cc1cc(CCCC(=O)NC[C@H]2CC[C@H](c3ccc(C(N)=O)c(C)n3)CC2)ccc1F,True,-0.793022269887039
56,NC(=O)c1ccccc1NC(=O)CN1CCCC(c2nc3ccccc3o2)C1,False,0.17656339643754881
57,O=C(CN1CCCC(c2nc3ccccc3o2)C1)Nc1ccc(OC(F)(F)F)cc1,True,0.3653879270530238
58,CC(C(=O)Nc1ccc(C(N)=O)cc1)N1CCCC(c2nc3ccccc3o2)C1,False,-0.07336796079150432
59,Cc1ccc(NC(=O)CN2CCCC(c3nc4ccccc4o3)C2)cc1C,False,-0.6230449521007668
60,Cc1cc(Nc2ccc(F)cn2)cc(C2CCN(C(=O)COc3ccccc3F)C2)n1,False,-0.15282904772583583
61,CCc1ccc(-c2nccn2CC(=O)Nc2ccc(C)cc2F)nc1,False,0.013938030072068841
62,CC(C(=O)N1CCc2sccc2C1)N1CCCN(c2ccccc2C#N)CC1,False,0.6973415679583308
63,COc1cc(F)c(NCC(=O)Nc2ccc(C)cc2)cc1OC,False,-0.03961176556986423
64,NC(=O)C1CCN(C(=O)CCc2ccc(Cl)cc2)CC1,False,-1.1186255973246566
65,COc1cccc(N(C)CCC(=O)N2CCC(c3ccc(-c4ccc(N)nc4)cn3)CC2)c1,False,-0.8881050531074712
66,CN(CC(=O)Nc1ccncc1)C1CCCC1,False,-2.569764855986938
67,COc1ccc(NC(=O)C(C)N2CCCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,False,-0.699028381248
68,Cc1ccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,False,-1.0079796837366435
69,O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1cccc(F)c1,False,-0.6449287414204163
70,COc1ccc(NC(=O)CN2CCC(c3cc(-c4cnc(N)nc4)cc(C)n3)CC2)cc1,False,-1.5693207855425846
71,c1ccc(-c2nsc(N3CCCN(c4nccs4)CC3)n2)cc1,False,-1.387643373947478
72,COc1ccc(-c2nnc(-c3ccccc3)o2)cc1OC,True,0.6173642938936421
73,Nc1ccc(CC(=O)Nc2ccccc2F)cc1,False,0.30811616978451517
74,COc1ccc(CN(C)C(=O)Nc2ccccc2)cc1F,False,-0.12472664378760889
75,O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1ccccc1Cl,False,-0.7398067277443068
76,Cc1ccc(C)c(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c1,False,-1.28864823249237
77,C/C=C/CC(=O)N1CCC(c2cc(Cc3ccccc3)n[nH]2)CC1,False,-0.5542005649288471
78,CN1CCc2ncnc(N3CCCN(c4nccs4)CC3)c2C1,False,-0.4033807943644767
79,CC(C)c1cccc(CN2C(=O)N(C)C3(CCCCC3)C2=O)n1,False,-1.3677523849374436
