,smiles,value,preds
2051,CC(C)(C)OC(=O)N1CCNC(=O)C1,False,0.02145216917623417
2068,O=C(Cc1csc(-c2ccc(F)c(F)c2)n1)NCC(F)(F)F,True,0.2389107169232425
2114,c1ccc2[nH]c(C3CCNCC3)nc2c1,False,0.03020804069722064
2117,NC(=O)Cc1nc(-c2ccc(Cl)cc2Cl)cs1,False,0.22605023407925187
2126,Cc1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1,True,0.28333750835139876
2127,O=C(Nc1nc2ccccc2[nH]1)c1cccnc1,True,0.22615001386375397
2128,Cn1c(NC(=O)C2CC2c2ccc(Cl)cc2)nc2ccccc21,True,0.4775759577410714
2130,O=C(Nc1nc2ccccc2[nH]1)c1ccccc1,True,0.3723178337299673
2131,O=C(Nc1nc2ccccc2[nH]1)C1CC1c1ccccc1,True,0.4325735534343634
2132,COc1ccc(-c2csc(CC(N)=O)n2)cc1Br,False,0.29935998401222264
2138,O=C(COc1ccc(F)cc1F)N1CCNC1=O,False,0.09952027759015016
2142,COC(=O)Nc1nc2ccccc2[nH]1,True,0.15256833162741915
2158,O=C(Nc1nc2ccccc2[nH]1)c1cc(Cl)ccc1Cl,True,0.5969143506421525
143,c1ccc(-c2n[nH]c(C3CCN(c4ccccn4)CC3)n2)cc1,False,0.13368846856455052
153,NCc1cccc(C(=O)N2CCCC2)c1,False,0.007271461347816338
154,Cc1ncsc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,False,0.08572598629430599
157,CNC(=O)c1ccc(N2CCCC2)nc1,False,0.0024508695618820544
179,CCc1nnc(NC(=O)Cc2cccc(F)c2)s1,False,0.08286681379904606
193,C[C@@H](C(=O)N1CCCC1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,False,0.05972627345135116
197,CC(C)(C)c1csc(NC(=O)C2CC2)n1,False,0.07811550805785628
220,CCN(C(=O)CN1CCNC(=O)C1)c1ccc(F)cc1,False,0.004619269510790928
224,CNC(=O)Cc1csc(-c2ccc(C)cc2)n1,True,0.06507442293765
250,c1cnc(N2CCC(Cc3ccncc3)CC2)nc1,False,0.012581858501094981
