,smiles,value,preds
2051,CC(C)(C)OC(=O)N1CCNC(=O)C1,False,0.007530808318232261
2068,O=C(Cc1csc(-c2ccc(F)c(F)c2)n1)NCC(F)(F)F,True,0.5684095562323092
2114,c1ccc2[nH]c(C3CCNCC3)nc2c1,False,0.020402711435572585
2117,NC(=O)Cc1nc(-c2ccc(Cl)cc2Cl)cs1,False,0.2581121222329904
2126,Cc1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1,True,0.6808957358433269
2127,O=C(Nc1nc2ccccc2[nH]1)c1cccnc1,True,0.3803543058152706
2128,Cn1c(NC(=O)C2CC2c2ccc(Cl)cc2)nc2ccccc21,True,0.5684762099043483
2130,O=C(Nc1nc2ccccc2[nH]1)c1ccccc1,True,0.7018684222814862
2131,O=C(Nc1nc2ccccc2[nH]1)C1CC1c1ccccc1,True,0.5683852732473088
2132,COc1ccc(-c2csc(CC(N)=O)n2)cc1Br,False,0.21379830757080512
2138,O=C(COc1ccc(F)cc1F)N1CCNC1=O,False,0.06127592435092733
2142,COC(=O)Nc1nc2ccccc2[nH]1,True,0.5336112143205998
2158,O=C(Nc1nc2ccccc2[nH]1)c1cc(Cl)ccc1Cl,True,0.8786802809344008
143,c1ccc(-c2n[nH]c(C3CCN(c4ccccn4)CC3)n2)cc1,False,0.12855307201809119
153,NCc1cccc(C(=O)N2CCCC2)c1,False,0.0169924239356648
154,Cc1ncsc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,False,0.09843401071737923
157,CNC(=O)c1ccc(N2CCCC2)nc1,False,0.015949415895930866
179,CCc1nnc(NC(=O)Cc2cccc(F)c2)s1,False,0.2264394066063072
193,C[C@@H](C(=O)N1CCCC1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,False,0.013931915670600061
197,CC(C)(C)c1csc(NC(=O)C2CC2)n1,False,0.22168391525727116
220,CCN(C(=O)CN1CCNC(=O)C1)c1ccc(F)cc1,False,0.009118043546975891
224,CNC(=O)Cc1csc(-c2ccc(C)cc2)n1,True,0.323627622709256
250,c1cnc(N2CCC(Cc3ccncc3)CC2)nc1,False,0.018486705289331044
268,Cc1nc(C(C)C)sc1C(=O)Nc1nc(C(C)(C)C)cs1,False,0.5566361481142625
280,CCOc1ccc(-c2csc(N)n2)cc1,True,0.16640195871742797
289,Clc1snnc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,False,0.2562232507368791
